Metric,Value
R² (train),0.8876104124848399
Q² (LOO),0.7963468317647107
RMSE (train),3.197626795695642
RMSE (test),4.373723440785596
MAE (train),2.57292228083817
MAE (test),3.327535606462783
Mean Percent Error,3.621874261072804
