Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Test,Electronegativity,dataset
652,ID_0731,CuO,46.3,-39.67,HCMEC,No,0.02,14.43,Uncoated,human,heart,MTT,2.67,Small
653,ID_0732,CuO,30.0,-39.67,A549,Yes,0.005,97.86,Uncoated,human,lung,CCK-8,2.67,Small
654,ID_0733,CuO,46.3,-39.67,HCMEC,No,0.02,45.22,Uncoated,human,heart,MTT,2.67,Small
655,ID_0734,CuO,30.0,-39.67,A549,Yes,0.02,84.24,Uncoated,human,lung,CCK-8,2.67,Small
656,ID_0735,CuO,46.3,-39.67,HCMEC,No,0.01,63.37,Uncoated,human,heart,MTT,2.67,Small
657,ID_0736,CuO,46.3,-39.67,HCMEC,No,0.01,42.95,Uncoated,human,heart,MTT,2.67,Small
658,ID_0737,CuO,46.3,-39.67,HCMEC,No,0.05,16.17,Uncoated,human,heart,MTT,2.67,Small
659,ID_0738,CuO,46.3,-39.67,HCMEC,No,0.1,14.19,Uncoated,human,heart,MTT,2.67,Small
660,ID_0739,CuO,30.0,-39.67,A549,Yes,0.04,19.84,Uncoated,human,lung,CCK-8,2.67,Small
661,ID_0740,CuO,46.3,-39.67,HCMEC,No,0.1,12.79,Uncoated,human,heart,MTT,2.67,Small
662,ID_0741,CuO,46.3,-39.67,HCMEC,No,0.005,74.75,Uncoated,human,heart,MTT,2.67,Small
663,ID_0742,CuO,28.2,-39.67,A549,Yes,0.02,126.3,Uncoated,human,lung,CellTiterBlue,2.67,Small
664,ID_0743,CuO,28.2,-39.67,A549,Yes,0.005,124.78,Uncoated,human,lung,CellTiterBlue,2.67,Small
665,ID_0744,CuO,46.3,-39.67,HCMEC,No,0.0001,95.08,Uncoated,human,heart,MTT,2.67,Small
666,ID_0745,CuO,30.0,-39.67,A549,Yes,0.04,2.53,Uncoated,human,lung,CCK-8,2.67,Small
667,ID_0746,CuO,30.0,-39.67,A549,Yes,0.0005,109.73,Uncoated,human,lung,CCK-8,2.67,Small
668,ID_0747,CuO,46.3,-39.67,HCMEC,No,1e-05,99.67,Uncoated,human,heart,MTT,2.67,Small
669,ID_0748,CuO,22.83,-39.67,HepG2,Yes,0.05,27.93,Uncoated,human,liver,MTT,2.67,Small
670,ID_0749,CuO,28.2,-39.67,A549,Yes,0.04,101.09,Uncoated,human,lung,CellTiterBlue,2.67,Small
671,ID_0750,CuO,30.0,-39.67,A549,Yes,0.03,2.92,Uncoated,human,lung,CCK-8,2.67,Small
672,ID_0751,CuO,33.0,-39.67,SH-SY5Y,Yes,7.95454e-08,35.0,Uncoated,human,bone marrow,MTS,2.67,Small
673,ID_0752,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-11,5.74,Uncoated,human,heart,LDH,2.67,Small
674,ID_0753,CuO,10.0,-39.67,A549,Yes,0.005,103.31,Uncoated,human,lung,MTS,2.67,Small
675,ID_0754,CuO,22.83,-39.67,HepG2,Yes,0.002,83.4,Uncoated,human,liver,MTT,2.67,Small
676,ID_0755,CuO,22.83,-39.67,HepG2,Yes,0.005,69.09,Uncoated,human,liver,MTT,2.67,Small
677,ID_0756,CuO,22.83,-39.67,HepG2,Yes,0.01,51.41,Uncoated,human,liver,MTT,2.67,Small
678,ID_0757,CuO,22.83,-39.67,HepG2,Yes,0.025,34.03,Uncoated,human,liver,MTT,2.67,Small
679,ID_0758,CuO,22.83,-39.67,HepG2,Yes,0.002,81.39,Uncoated,human,liver,NRU,2.67,Small
680,ID_0759,CuO,22.83,-39.67,HepG2,Yes,0.005,66.2,Uncoated,human,liver,NRU,2.67,Small
681,ID_0760,CuO,22.83,-39.67,HepG2,Yes,0.01,51.16,Uncoated,human,liver,NRU,2.67,Small
682,ID_0761,CuO,30.0,-39.67,A549,Yes,0.03,56.42,Uncoated,human,lung,CCK-8,2.67,Small
683,ID_0762,CuO,28.0,-39.67,HepG2,Yes,0.05,13.65,Uncoated,human,liver,MTT,2.67,Small
684,ID_0763,CuO,30.0,-39.67,A549,Yes,0.05,4.28,Uncoated,human,lung,CCK-8,2.67,Small
685,ID_0764,CuO,46.3,-39.67,HCMEC,No,1e-06,95.74,Uncoated,human,heart,MTT,2.67,Small
686,ID_0765,CuO,30.0,-39.67,A549,Yes,0.1,3.31,Uncoated,human,lung,CCK-8,2.67,Small
687,ID_0766,CuO,10.0,-39.67,A549,Yes,0.01,98.46,Uncoated,human,lung,MTS,2.67,Small
688,ID_0767,CuO,28.2,-39.67,A549,Yes,0.01,128.04,Uncoated,human,lung,CellTiterBlue,2.67,Small
689,ID_0768,CuO,10.0,-39.67,A549,Yes,0.025,84.77,Uncoated,human,lung,MTS,2.67,Small
690,ID_0769,CuO,10.0,-39.67,A549,Yes,0.05,56.29,Uncoated,human,lung,MTS,2.67,Small
691,ID_0770,CuO,10.0,-39.67,A549,Yes,0.1,15.01,Uncoated,human,lung,MTS,2.67,Small
692,ID_0771,CuO,28.0,-39.67,HepG2,Yes,0.025,20.32,Uncoated,human,liver,MTT,2.67,Small
693,ID_0772,CuO,28.2,-39.67,A549,Yes,0.04,7.17,Uncoated,human,lung,CellTiterBlue,2.67,Small
694,ID_0773,CuO,28.2,-39.67,A549,Yes,0.02,17.61,Uncoated,human,lung,CellTiterBlue,2.67,Small
695,ID_0774,CuO,28.2,-39.67,A549,Yes,0.01,66.74,Uncoated,human,lung,CellTiterBlue,2.67,Small
696,ID_0775,CuO,28.2,-39.67,A549,Yes,0.04,20.0,Uncoated,human,lung,CellTiterBlue,2.67,Small
697,ID_0776,CuO,55.8,-39.67,HaCat,No,0.005,92.96,Uncoated,human,skin,MTT,2.67,Small
698,ID_0777,CuO,28.2,-39.67,A549,Yes,0.02,45.22,Uncoated,human,lung,CellTiterBlue,2.67,Small
699,ID_0778,CuO,28.2,-39.67,A549,Yes,0.01,98.26,Uncoated,human,lung,CellTiterBlue,2.67,Small
700,ID_0779,CuO,28.2,-39.67,A549,Yes,0.005,110.22,Uncoated,human,lung,CellTiterBlue,2.67,Small
701,ID_0780,CuO,40.0,-39.67,A549,Yes,0.1,52.76,Uncoated,human,lung,MTS,2.67,Small
702,ID_0781,CuO,30.0,-39.67,A549,Yes,0.02,27.82,Uncoated,human,lung,CCK-8,2.67,Small
703,ID_0783,CuO,30.0,-39.67,A549,Yes,0.005,65.56,Uncoated,human,lung,CCK-8,2.67,Small
704,ID_0784,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-15,46.29,Uncoated,human,heart,LDH,2.67,Small
705,ID_0785,CuO,239.0,-39.67,HCMEC,No,1.46424195801364e-11,84.27,Uncoated,human,heart,MTT,2.67,Small
706,ID_0786,CuO,33.0,-39.67,SH-SY5Y,Yes,7.954540000000001e-06,32.01,Uncoated,human,bone marrow,MTS,2.67,Small
707,ID_0787,CuO,33.0,-39.67,H4,Yes,0.00795454,60.68,Uncoated,human,brain,Live/Dead,2.67,Small
708,ID_0788,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-11,12.4,Uncoated,human,heart,LDH,2.67,Small
709,ID_0789,CuO,239.0,-39.67,HCMEC,No,5.856967832054559e-11,12.38,Uncoated,human,heart,LDH,2.67,Small
710,ID_0790,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-15,43.37,Uncoated,human,heart,LDH,2.67,Small
711,ID_0791,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-14,41.47,Uncoated,human,heart,LDH,2.67,Small
712,ID_0792,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-13,45.2,Uncoated,human,heart,LDH,2.67,Small
713,ID_0793,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-12,30.16,Uncoated,human,heart,LDH,2.67,Small
714,ID_0794,CuO,52.51,-39.67,A549,Yes,2.761280278419176e-09,74.59,Uncoated,human,lung,MTT,2.67,Small
715,ID_0795,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-10,13.48,Uncoated,human,heart,MTT,2.67,Small
716,ID_0797,CuO,239.0,-39.67,HCMEC,No,5.856967832054559e-11,15.73,Uncoated,human,heart,MTT,2.67,Small
717,ID_0798,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-11,43.82,Uncoated,human,heart,MTT,2.67,Small
718,ID_0799,CuO,239.0,-39.67,HCMEC,No,1.46424195801364e-11,75.28,Uncoated,human,heart,MTT,2.67,Small
719,ID_0800,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-12,96.63,Uncoated,human,heart,MTT,2.67,Small
720,ID_0801,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-13,95.51,Uncoated,human,heart,MTT,2.67,Small
721,ID_0802,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-14,100.0,Uncoated,human,heart,MTT,2.67,Small
722,ID_0805,CuO,33.0,-39.67,H4,Yes,0.0007954539999999,90.07,Uncoated,human,brain,Live/Dead,2.67,Small
723,ID_0806,CuO,239.0,-39.67,HCMEC,No,2.928483916027276e-35,98.88,Uncoated,human,heart,MTT,2.67,Small
724,ID_0807,CuO,33.0,-39.67,H4,Yes,7.954540000000001e-06,98.6,Uncoated,human,brain,Live/Dead,2.67,Small
725,ID_0808,CuO,33.0,-39.67,H4,Yes,7.95454e-08,98.28,Uncoated,human,brain,Live/Dead,2.67,Small
726,ID_0809,CuO,33.0,-39.67,SH-SY5Y,Yes,0.00795454,41.08,Uncoated,human,bone marrow,Live/Dead,2.67,Small
727,ID_0810,CuO,33.0,-39.67,SH-SY5Y,Yes,0.0007954539999999,89.75,Uncoated,human,bone marrow,Live/Dead,2.67,Small
728,ID_0811,CuO,33.0,-39.67,SH-SY5Y,Yes,7.95454e-05,97.65,Uncoated,human,bone marrow,Live/Dead,2.67,Small
729,ID_0812,CuO,33.0,-39.67,SH-SY5Y,Yes,7.954540000000001e-06,98.92,Uncoated,human,bone marrow,Live/Dead,2.67,Small
730,ID_0813,CuO,33.0,-39.67,H4,Yes,0.0007954539999999,38.43,Uncoated,human,brain,MTS,2.67,Small
731,ID_0814,CuO,33.0,-39.67,H4,Yes,7.95454e-05,68.2,Uncoated,human,brain,MTS,2.67,Small
732,ID_0815,CuO,33.0,-39.67,SH-SY5Y,Yes,0.0007954539999999,41.71,Uncoated,human,bone marrow,MTS,2.67,Small
733,ID_0816,CuO,239.0,-39.67,HCMEC,No,1.46424195801364e-11,27.44,Uncoated,human,heart,LDH,2.67,Small
734,ID_0818,CuO,33.0,-39.67,H4,Yes,7.95454e-05,97.34,Uncoated,human,brain,Live/Dead,2.67,Small
735,ID_0819,CuO,33.0,-39.67,H4,Yes,7.954540000000001e-06,59.06,Uncoated,human,brain,MTS,2.67,Small
736,ID_0820,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-14,44.39,Uncoated,human,heart,LDH,2.67,Small
737,ID_0821,CuO,239.0,-39.67,HCMEC,No,1.46424195801364e-11,11.39,Uncoated,human,heart,LDH,2.67,Small
738,ID_0822,CuO,52.51,-39.67,A549,Yes,2.761280278419176e-09,84.71,Uncoated,human,lung,NR,2.67,Small
739,ID_0823,CuO,52.51,-39.67,A549,Yes,6.90320069604794e-09,68.67,Uncoated,human,lung,NR,2.67,Small
740,ID_0824,CuO,52.51,-39.67,A549,Yes,1.380640139209588e-08,45.38,Uncoated,human,lung,NR,2.67,Small
741,ID_0825,CuO,33.0,-39.67,H4,Yes,7.95454e-08,71.83,Uncoated,human,brain,MTS,2.67,Small
742,ID_0826,CuO,52.51,-39.67,A549,Yes,1.380640139209588e-08,48.17,Uncoated,human,lung,MTT,2.67,Small
743,ID_0827,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-12,33.08,Uncoated,human,heart,LDH,2.67,Small
744,ID_0828,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-10,14.61,Uncoated,human,heart,MTT,2.67,Small
745,ID_0829,CuO,239.0,-39.67,HCMEC,No,5.856967832054559e-11,46.07,Uncoated,human,heart,MTT,2.67,Small
746,ID_0830,CuO,52.51,-39.67,A549,Yes,0.05,48.0,Uncoated,human,lung,MTT,2.67,Small
747,ID_0831,CuO,52.51,-39.67,A549,Yes,0.025,66.0,Uncoated,human,lung,MTT,2.67,Small
748,ID_0832,CuO,52.51,-39.67,A549,Yes,0.01,75.0,Uncoated,human,lung,MTT,2.67,Small
749,ID_0833,CuO,40.0,-39.67,A549,Yes,0.005,100.0,Uncoated,human,lung,MTS,2.67,Small
750,ID_0834,CuO,40.0,-39.67,A549,Yes,0.01,102.87,Uncoated,human,lung,MTS,2.67,Small
751,ID_0835,CuO,40.0,-39.67,A549,Yes,0.025,94.7,Uncoated,human,lung,MTS,2.67,Small
752,ID_0836,CuO,40.0,-39.67,A549,Yes,0.05,85.87,Uncoated,human,lung,MTS,2.67,Small
753,ID_0837,CuO,55.8,-39.67,HaCat,No,0.02,70.0,Uncoated,human,skin,MTT,2.67,Small
754,ID_0838,CuO,55.8,-39.67,HaCat,No,0.01,86.01,Uncoated,human,skin,MTT,2.67,Small
755,ID_0839,CuO,55.8,-39.67,HaCat,No,0.03,49.7,Uncoated,human,skin,MTT,2.67,Small
756,ID_0840,CuO,28.2,-39.67,A549,Yes,0.005,100.0,Uncoated,human,lung,CellTiterBlue,2.67,Small
757,ID_0841,CuO,55.8,-39.67,HaCat,No,0.01,79.9,Uncoated,human,skin,MTT,2.67,Small
758,ID_0842,CuO,55.8,-39.67,HaCat,No,0.02,58.43,Uncoated,human,skin,MTT,2.67,Small
759,ID_0843,CuO,30.0,-39.67,A549,Yes,0.1,0.78,Uncoated,human,lung,CCK-8,2.67,Small
760,ID_0844,CuO,55.8,-39.67,HaCat,No,0.005,96.2,Uncoated,human,skin,MTT,2.67,Small
761,ID_0845,CuO,30.0,-39.67,A549,Yes,0.05,1.17,Uncoated,human,lung,CCK-8,2.67,Small
762,ID_0846,CuO,55.8,-39.67,HaCat,No,0.03,30.4,Uncoated,human,skin,MTT,2.67,Small
763,ID_0847,CuO,30.0,-39.67,A549,Yes,0.0005,104.67,Uncoated,human,lung,CCK-8,2.67,Small
764,ID_0848,CuO,30.0,-39.67,A549,Yes,0.001,101.36,Uncoated,human,lung,CCK-8,2.67,Small
765,ID_0849,CuO,52.51,-39.67,A549,Yes,0.01,85.0,Uncoated,human,lung,NRU,2.67,Small
766,ID_0850,CuO,239.0,-39.67,HCMEC,No,1.46424195801364e-10,16.85,Uncoated,human,heart,MTT,2.67,Small
767,ID_0851,CuO,52.51,-39.67,A549,Yes,0.025,69.0,Uncoated,human,lung,NRU,2.67,Small
768,ID_0852,CuO,30.09,-39.67,hMSC,No,0.00178,78.03,Uncoated,human,bone marrow,NRU,2.67,Small
769,ID_0853,CuO,239.0,-39.67,HCMEC,No,2.928483916027279e-11,65.17,Uncoated,human,heart,MTT,2.67,Small
770,ID_0854,CuO,239.0,-39.67,HCMEC,No,2.92848391602728e-13,44.36,Uncoated,human,heart,LDH,2.67,Small
771,ID_0856,CuO,33.0,-39.67,SH-SY5Y,Yes,7.95454e-05,37.41,Uncoated,human,bone marrow,MTS,2.67,Small
772,ID_0857,CuO,52.51,-39.67,A549,Yes,6.90320069604794e-09,66.06,Uncoated,human,lung,MTT,2.67,Small
773,ID_0858,CuO,10.0,-39.67,Caco-2,Yes,0.025,64.72,Uncoated,human,colon,MTS,2.67,Small
774,ID_0859,CuO,10.0,-39.67,Caco-2,Yes,0.025,75.86,Uncoated,human,colon,MTS,2.67,Small
775,ID_0860,CuO,40.0,-39.67,Caco-2,Yes,0.025,75.33,Uncoated,human,colon,MTS,2.67,Small
776,ID_0861,CuO,40.0,-39.67,Caco-2,Yes,0.025,114.06,Uncoated,human,colon,MTS,2.67,Small
777,ID_0862,CuO,23.0,-39.67,A549,Yes,0.015,31.44,Uncoated,human,lung,MTT,2.67,Small
778,ID_0863,CuO,23.0,-39.67,A549,Yes,0.01,56.48,Uncoated,human,lung,MTT,2.67,Small
779,ID_0864,CuO,23.0,-39.67,A549,Yes,0.005,81.51,Uncoated,human,lung,MTT,2.67,Small
780,ID_0865,CuO,30.09,-39.67,hMSC,No,0.1,0.38,Uncoated,human,bone marrow,NRU,2.67,Small
781,ID_0867,CuO,30.09,-39.67,hMSC,No,0.0316,1.16,Uncoated,human,bone marrow,NRU,2.67,Small
782,ID_0868,CuO,30.09,-39.67,hMSC,No,0.0178,2.12,Uncoated,human,bone marrow,NRU,2.67,Small
783,ID_0869,CuO,30.09,-39.67,hMSC,No,0.01,4.24,Uncoated,human,bone marrow,NRU,2.67,Small
784,ID_0870,CuO,30.09,-39.67,hMSC,No,0.00562,10.4,Uncoated,human,bone marrow,NRU,2.67,Small
785,ID_0871,CuO,30.09,-39.67,hMSC,No,0.00316,31.98,Uncoated,human,bone marrow,NRU,2.67,Small
786,ID_0872,CuO,52.51,-39.67,A549,Yes,0.05,46.0,Uncoated,human,lung,NRU,2.67,Small
787,ID_0874,Fe3O4,28.33,49.26,hPDLF,No,0.0001,76.07,Uncoated,human,teeth,MTT,2.75,Small
788,ID_0875,Fe3O4,28.33,49.26,hPDLF,No,0.05,95.73,Uncoated,human,teeth,MTT,2.75,Small
789,ID_0876,Fe3O4,42.5,49.26,HCMEC,No,0.005,99.01,Uncoated,human,heart,MTT,2.75,Small
790,ID_0877,Fe3O4,42.5,49.26,HCMEC,No,0.0001,97.04,Uncoated,human,heart,MTT,2.75,Small
791,ID_0878,Fe3O4,6.0,49.26,HEK-293,No,0.004,67.17,Uncoated,human,kidney,MTT,2.75,Small
792,ID_0879,Fe3O4,6.0,49.26,HEK-293,No,0.002,75.2,Uncoated,human,kidney,MTT,2.75,Small
793,ID_0880,Fe3O4,6.0,49.26,HEK-293,No,0.0005,87.05,Uncoated,human,kidney,MTT,2.75,Small
794,ID_0881,Fe3O4,28.33,49.26,hPDLF,No,0.05,43.64,Uncoated,human,teeth,MTT,2.75,Small
795,ID_0882,Fe3O4,28.33,49.26,hPDLF,No,0.1,39.83,Uncoated,human,teeth,MTT,2.75,Small
796,ID_0884,Fe3O4,42.5,49.26,HCMEC,No,0.05,98.36,Uncoated,human,heart,MTT,2.75,Small
797,ID_0885,Fe3O4,28.33,49.26,hPDLF,No,0.0001,49.65,Uncoated,human,teeth,MTT,2.75,Small
798,ID_0886,Fe3O4,42.5,49.26,HCMEC,No,1e-06,95.07,Uncoated,human,heart,MTT,2.75,Small
799,ID_0888,Fe3O4,46.8,49.26,HCMEC,No,1e-06,99.01,Uncoated,human,heart,MTT,2.75,Small
800,ID_0889,Fe3O4,6.0,49.26,HEK-293,No,0.004,74.47,Uncoated,human,kidney,MTT,2.75,Small
801,ID_0890,Fe3O4,28.33,49.26,hPDLF,No,0.1,86.61,Uncoated,human,teeth,MTT,2.75,Small
802,ID_0891,Fe3O4,46.8,49.26,HCMEC,No,1e-05,95.39,Uncoated,human,heart,MTT,2.75,Small
803,ID_0892,Fe3O4,46.8,49.26,HCMEC,No,0.0001,98.36,Uncoated,human,heart,MTT,2.75,Small
804,ID_0893,Fe3O4,46.8,49.26,HCMEC,No,0.001,100.33,Uncoated,human,heart,MTT,2.75,Small
805,ID_0894,Fe3O4,46.8,49.26,HCMEC,No,0.005,97.04,Uncoated,human,heart,MTT,2.75,Small
806,ID_0895,Fe3O4,46.8,49.26,HCMEC,No,0.01,100.0,Uncoated,human,heart,MTT,2.75,Small
807,ID_0899,Fe3O4,6.0,49.26,HEK-293,No,0.002,88.88,Uncoated,human,kidney,MTT,2.75,Small
808,ID_0900,Fe3O4,6.0,49.26,HEK-293,No,0.0005,93.8,Uncoated,human,kidney,MTT,2.75,Small
809,ID_0901,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.651570349035752e-10,104.84,PEI,mouse,blood,MTS,2.75,Small
810,ID_0902,Fe3O4,145.8,17.7,SH-SY5Y,Yes,5.651570349035752e-10,42.65,PEI,human,bone marrow,Live/Dead,2.75,Small
811,ID_0903,Fe3O4,145.8,17.7,SH-SY5Y,Yes,1.130314069807151e-09,39.94,PEI,human,bone marrow,Live/Dead,2.75,Small
812,ID_0904,Fe3O4,145.8,17.7,SH-SY5Y,Yes,7.053159795596625e-11,60.19,PEI,human,bone marrow,Live/Dead,2.75,Small
813,ID_0905,Fe3O4,145.8,17.7,SH-SY5Y,Yes,1.412892587258939e-10,40.91,PEI,human,bone marrow,Live/Dead,2.75,Small
814,ID_0906,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.710883029594856e-11,60.8,PEG to the PEI,mouse,blood,Live/Dead,2.75,Small
815,ID_0907,Fe3O4,145.8,17.7,SH-SY5Y,Yes,1.412892587258939e-10,32.68,PEI,human,bone marrow,Live/Dead,2.75,Small
816,ID_0908,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.27720757398714e-12,86.36,PEG to the PEI,mouse,blood,Live/Dead,2.75,Small
817,ID_0909,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.130314069807151e-09,100.0,PEI,mouse,blood,MTS,2.75,Small
818,ID_0911,Fe3O4,145.8,17.7,RAW 264.7,Yes,2.825785174517878e-10,99.19,PEI,mouse,blood,CellTiterBlue,2.75,Small
819,ID_0912,Fe3O4,145.8,17.7,SH-SY5Y,Yes,2.825785174517878e-10,56.05,PEI,human,bone marrow,Live/Dead,2.75,Small
820,ID_0913,Fe3O4,145.8,17.7,SH-SY5Y,Yes,1.412892587258939e-10,67.31,PEI,human,bone marrow,Live/Dead,2.75,Small
821,ID_0914,Fe3O4,145.8,17.7,SH-SY5Y,Yes,7.053159795596625e-11,82.85,PEI,human,bone marrow,Live/Dead,2.75,Small
822,ID_0915,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.130314069807151e-09,58.06,PEI,mouse,blood,CellTiterBlue,2.75,Small
823,ID_0916,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.651570349035752e-10,85.48,PEI,mouse,blood,CellTiterBlue,2.75,Small
824,ID_0917,Fe3O4,145.8,17.7,RAW 264.7,Yes,2.825785174517878e-10,106.45,PEI,mouse,blood,CellTiterBlue,2.75,Small
825,ID_0918,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.412892587258939e-10,115.32,PEI,mouse,blood,CellTiterBlue,2.75,Small
826,ID_0919,Fe3O4,145.8,17.7,RAW 264.7,Yes,7.053159795596625e-11,131.45,PEI,mouse,blood,CellTiterBlue,2.75,Small
827,ID_0921,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.651570349035752e-10,96.77,PEI,mouse,blood,CellTiterBlue,2.75,Small
828,ID_0922,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.412892587258939e-10,102.42,PEI,mouse,blood,CellTiterBlue,2.75,Small
829,ID_0923,Fe3O4,326.5,-23.5,SKOV-3,Yes,4.026077587644198e-11,92.67,folic acid with intermediate organic (PEG) coating,human,ovary,MTT,2.75,Small
830,ID_0924,Fe3O4,13.5,49.26,H4,Yes,0.02315326,99.81,Uncoated,human,brain,Live/Dead,2.75,Small
831,ID_0925,Fe3O4,326.5,-23.5,SKOV-3,Yes,2.013038793822099e-12,88.36,folic acid with intermediate organic (PEG) coating,human,ovary,MTT,2.75,Small
832,ID_0926,Fe3O4,326.5,-23.5,SKOV-3,Yes,4.026077587644198e-12,87.29,folic acid with intermediate organic (PEG) coating,human,ovary,MTT,2.75,Small
833,ID_0927,Fe3O4,42.5,49.26,HCMEC,No,0.0001,98.03,Uncoated,human,heart,MTT,2.75,Small
834,ID_0929,Fe3O4,28.33,49.26,hPDLF,No,0.1,51.62,Uncoated,human,teeth,MTT,2.75,Small
835,ID_0930,Fe3O4,28.33,49.26,hPDLF,No,0.05,55.01,Uncoated,human,teeth,MTT,2.75,Small
836,ID_0931,Fe3O4,28.33,49.26,hPDLF,No,0.01,53.03,Uncoated,human,teeth,MTT,2.75,Small
837,ID_0932,Fe3O4,28.33,49.26,hPDLF,No,0.001,55.29,Uncoated,human,teeth,MTT,2.75,Small
838,ID_0933,Fe3O4,6.0,49.26,A549,Yes,0.004,45.32,Uncoated,human,lung,MTT,2.75,Small
839,ID_0934,Fe3O4,6.0,49.26,A549,Yes,0.0005,85.75,Uncoated,human,lung,MTT,2.75,Small
840,ID_0935,Fe3O4,46.8,49.26,HCMEC,No,0.05,89.18,Uncoated,human,heart,MTT,2.75,Small
841,ID_0936,Fe3O4,6.0,49.26,HeLa,Yes,0.004,42.23,Uncoated,human,cervix,MTT,2.75,Small
842,ID_0937,Fe3O4,22.0,49.26,A549,Yes,0.025,72.0,Uncoated,human,lung,MTT,2.75,Small
843,ID_0938,Fe3O4,22.0,49.26,A549,Yes,0.01,84.0,Uncoated,human,lung,MTT,2.75,Small
844,ID_0939,Fe3O4,42.5,49.26,HCMEC,No,0.001,93.77,Uncoated,human,heart,MTT,2.75,Small
845,ID_0940,Fe3O4,42.5,49.26,HCMEC,No,0.005,88.53,Uncoated,human,heart,MTT,2.75,Small
846,ID_0941,Fe3O4,42.5,49.26,HCMEC,No,1e-05,96.72,Uncoated,human,heart,MTT,2.75,Small
847,ID_0942,Fe3O4,6.0,49.26,HeLa,Yes,0.002,50.22,Uncoated,human,cervix,MTT,2.75,Small
848,ID_0943,Fe3O4,6.0,49.26,HeLa,Yes,0.0005,75.29,Uncoated,human,cervix,MTT,2.75,Small
849,ID_0944,Fe3O4,6.0,49.26,HeLa,Yes,0.004,65.26,Uncoated,human,cervix,MTT,2.75,Small
850,ID_0945,Fe3O4,28.33,49.26,hPDLF,No,0.001,52.12,Uncoated,human,teeth,MTT,2.75,Small
851,ID_0946,Fe3O4,6.0,49.26,HeLa,Yes,0.002,72.69,Uncoated,human,cervix,MTT,2.75,Small
852,ID_0947,Fe3O4,42.5,49.26,HCMEC,No,0.01,88.85,Uncoated,human,heart,MTT,2.75,Small
853,ID_0948,Fe3O4,28.33,49.26,hPDLF,No,0.001,100.0,Uncoated,human,teeth,MTT,2.75,Small
854,ID_0949,Fe3O4,42.5,49.26,HCMEC,No,0.05,92.13,Uncoated,human,heart,MTT,2.75,Small
855,ID_0950,Fe3O4,42.5,49.26,HCMEC,No,0.1,89.51,Uncoated,human,heart,MTT,2.75,Small
856,ID_0951,Fe3O4,46.8,49.26,HCMEC,No,1e-06,98.69,Uncoated,human,heart,MTT,2.75,Small
857,ID_0952,Fe3O4,6.0,49.26,HeLa,Yes,0.0005,87.18,Uncoated,human,cervix,MTT,2.75,Small
858,ID_0953,Fe3O4,6.0,49.26,HeLa,Yes,0.002,86.44,Uncoated,human,cervix,MTT,2.75,Small
859,ID_0954,Fe3O4,6.0,49.26,HeLa,Yes,0.004,84.58,Uncoated,human,cervix,MTT,2.75,Small
860,ID_0956,Fe3O4,46.8,49.26,HCMEC,No,0.01,92.79,Uncoated,human,heart,MTT,2.75,Small
861,ID_0957,Fe3O4,46.8,49.26,HCMEC,No,0.005,91.15,Uncoated,human,heart,MTT,2.75,Small
862,ID_0958,Fe3O4,46.8,49.26,HCMEC,No,0.001,95.74,Uncoated,human,heart,MTT,2.75,Small
863,ID_0959,Fe3O4,42.5,49.26,HCMEC,No,1e-06,95.74,Uncoated,human,heart,MTT,2.75,Small
864,ID_0961,Fe3O4,46.8,49.26,HCMEC,No,1e-05,100.66,Uncoated,human,heart,MTT,2.75,Small
865,ID_0962,Fe3O4,6.0,49.26,A549,Yes,0.002,71.92,Uncoated,human,lung,MTT,2.75,Small
866,ID_0964,Fe3O4,28.33,49.26,mDF,No,0.001,76.38,Uncoated,mouse,skin,MTT,2.75,Small
867,ID_0965,Fe3O4,28.33,49.26,mDF,No,0.05,74.78,Uncoated,mouse,skin,MTT,2.75,Small
868,ID_0967,Fe3O4,28.33,49.26,mDF,No,0.01,88.33,Uncoated,mouse,skin,MTT,2.75,Small
