Viability (%),Diameter (nm),Zeta potential (mV),Concentration (g/L),Time (h),Electronegativity,Cluster
4.680851,28.41,-33.33,8.53309003210557e-07,72,1.93,2
7.9166665,28.41,-33.33,5.68872668807038e-08,72,1.93,2
57.916668,28.41,-33.33,5.68872668807038e-08,24,1.93,2
10.833333,28.41,-33.33,5.68872668807038e-08,48,1.93,2
67.15232,28.41,-33.33,8.53309003210557e-08,24,1.93,2
100.85107,28.41,-33.33,3.55545418004399e-08,24,1.93,2
95.932205,27.02,-18.4,4.467769040041691e-09,24,1.93,2
102.71186,27.02,-18.4,2.23388452002084e-09,24,1.93,2
7.9791102,36.4,-23.1,9.123652287042281e-09,48,1.93,2
41.49837,28.41,-33.33,1.4221816720176e-07,24,1.93,2
35.744682,28.41,-33.33,7.11090836008798e-08,72,1.93,2
38.723404,28.41,-33.33,7.11090836008798e-08,48,1.93,2
65.106384,28.41,-33.33,7.11090836008798e-08,24,1.93,2
55.31915,28.41,-33.33,3.55545418004399e-08,72,1.93,2
62.12766,28.41,-33.33,3.55545418004399e-08,48,1.93,2
34.468086,28.41,-33.33,1.4221816720176e-07,24,1.93,2
25.081432,28.41,-33.33,1.4221816720176e-07,72,1.93,2
26.875563,36.4,-23.1,9.123652287042281e-09,24,1.93,2
84.273,36.4,-23.1,3.64810725720756e-09,48,1.93,2
77.49469,36.4,-23.1,3.64810725720756e-09,24,1.93,2
85.56888,36.4,-23.1,1.8274377726271598e-09,48,1.93,2
82.16748,36.4,-23.1,1.8274377726271598e-09,24,1.93,2
85.84981,36.4,-23.1,9.13718886313581e-10,48,1.93,2
100.0607,14.7,-20.0,1.02761628947182e-07,24,1.93,2
103.05085,27.02,-18.4,2.23388452002084e-09,48,1.93,2
14.468085,28.41,-33.33,2.84436334403519e-07,48,1.93,2
9.361702,28.41,-33.33,2.84436334403519e-07,72,1.93,2
9.787234,28.41,-33.33,5.68872668807038e-07,24,1.93,2
8.936171,28.41,-33.33,5.68872668807038e-07,48,1.93,2
22.553192,28.41,-33.33,1.4221816720176e-07,48,1.93,2
17.021276,28.41,-33.33,1.4221816720176e-07,72,1.93,2
23.829786,28.41,-33.33,2.84436334403519e-07,24,1.93,2
92.5,28.41,-33.33,2.84436334403519e-08,24,1.93,2
4.255319,28.41,-33.33,1.4221816720176e-06,48,1.93,2
30.198675,28.41,-33.33,8.53309003210557e-08,72,1.93,2
38.762215,28.41,-33.33,2.84436334403519e-07,24,1.93,2
32.083332,28.41,-33.33,2.84436334403519e-08,48,1.93,2
4.255319,28.41,-33.33,1.4221816720176e-06,24,1.93,2
3.8297873,28.41,-33.33,1.13774533761408e-06,72,1.93,2
6.808511,28.41,-33.33,1.13774533761408e-06,24,1.93,2
0.0,28.41,-33.33,3.55545418004399e-07,48,1.93,2
0.8333333,28.41,-33.33,2.84436334403519e-07,72,1.93,2
0.8333333,28.41,-33.33,2.84436334403519e-07,48,1.93,2
112.638435,28.41,-33.33,3.55545418004399e-08,24,1.93,2
68.40391,28.41,-33.33,7.11090836008798e-08,24,1.93,2
2.0833333,28.41,-33.33,8.53309003210557e-08,72,1.93,2
50.833332,28.41,-33.33,8.53309003210557e-08,24,1.93,2
88.548386,100.0,-20.0,6.52227001727097e-10,24,1.93,2
5.5319147,28.41,-33.33,1.13774533761408e-06,48,1.93,2
2.0833333,28.41,-33.33,8.53309003210557e-08,48,1.93,2
0.0,28.41,-33.33,3.55545418004399e-07,72,1.93,2
65.667755,28.41,-33.33,7.11090836008798e-08,48,1.93,2
92.57329,28.41,-33.33,3.55545418004399e-08,72,1.93,2
104.42997,28.41,-33.33,3.55545418004399e-08,48,1.93,2
39.218243,28.41,-33.33,1.4221816720176e-07,48,1.93,2
4.680851,28.41,-33.33,8.53309003210557e-07,48,1.93,2
3.4042554,28.41,-33.33,1.4221816720176e-06,72,1.93,2
1.25,28.41,-33.33,1.13774533761408e-07,48,1.93,2
40.0,28.41,-33.33,1.4221816720176e-07,24,1.93,2
1.25,28.41,-33.33,1.4221816720176e-07,72,1.93,2
39.166668,28.41,-33.33,2.13327250802639e-07,24,1.93,2
0.41666666,28.41,-33.33,2.13327250802639e-07,48,1.93,2
36.25,28.41,-33.33,2.84436334403519e-07,24,1.93,2
46.970684,28.41,-33.33,7.11090836008798e-08,72,1.93,2
48.333332,28.41,-33.33,1.13774533761408e-07,24,1.93,2
26.58145,239.0,8.66716049382717,2.99823250324321e-10,24,2.708,2
26.55242,239.0,8.66716049382717,5.99646500648642e-10,24,2.708,2
38.63421,45.0,8.66716049382717,1.34754328485411e-07,48,2.708,2
46.724808,45.0,8.66716049382717,1.12295273737842e-07,48,2.708,2
93.91304,28.0,8.66716049382717,1.86459672364448e-07,24,2.708,1
34.19274,239.0,8.66716049382717,5.99646500648642e-12,24,2.708,2
57.90178,45.0,8.66716049382717,8.98362189902739e-08,48,2.708,2
32.2621,239.0,8.66716049382717,5.99646500648642e-11,24,2.708,2
43.594357,239.0,8.66716049382717,5.99646500648642e-13,24,2.708,2
36.03871,239.0,8.66716049382717,2.99823250324321e-11,24,2.708,2
99.565216,28.0,8.66716049382717,9.32298361822238e-08,24,2.708,1
43.65,239.0,8.66716049382717,5.99646500648642e-15,24,2.708,2
98.8764,239.0,8.66716049382717,2.99823250324321e-10,12,2.708,1
95.505615,239.0,8.66716049382717,1.19929300129728e-10,12,2.708,1
37.112904,239.0,8.66716049382717,5.99646500648642e-12,12,2.708,2
32.23548,239.0,8.66716049382717,1.19929300129728e-10,24,2.708,2
95.505615,239.0,8.66716049382717,2.99823250324321e-11,24,2.708,1
96.62921,239.0,8.66716049382717,2.99823250324321e-11,12,2.708,1
44.639515,239.0,8.66716049382717,5.99646500648642e-13,12,2.708,2
93.25843,239.0,8.66716049382717,5.99646500648642e-15,24,2.708,1
40.91613,239.0,8.66716049382717,5.996465006486422e-14,12,2.708,2
100.86957,28.0,8.66716049382717,3.72919344728895e-08,24,2.708,1
93.25843,239.0,8.66716049382717,5.99646500648642e-10,12,2.708,1
79.43144,28.0,8.66716049382717,3.72919344728895e-07,24,2.708,1
45.495968,239.0,8.66716049382717,5.996465006486422e-14,24,2.708,2
73.54821,28.0,8.66716049382717,9.32298361822238e-08,24,2.708,1
80.66091,28.0,8.66716049382717,1.86459672364448e-08,24,2.708,1
101.1236,239.0,8.66716049382717,5.99646500648642e-12,12,2.708,1
76.08696,28.0,8.66716049382717,3.72919344728895e-07,24,2.708,1
97.75281,239.0,8.66716049382717,5.99646500648642e-13,12,2.708,1
67.09848,28.0,8.66716049382717,1.86459672364448e-07,24,2.708,1
94.38202,239.0,8.66716049382717,5.99646500648642e-13,24,2.708,1
96.62921,239.0,8.66716049382717,5.996465006486422e-14,24,2.708,1
33.22258,239.0,8.66716049382717,5.99646500648642e-10,12,2.708,2
33.25161,239.0,8.66716049382717,2.99823250324321e-10,12,2.708,2
35.18226,239.0,8.66716049382717,5.99646500648642e-11,12,2.708,2
33.33629,239.0,8.66716049382717,2.99823250324321e-11,12,2.708,2
99.13043,28.0,8.66716049382717,1.86459672364448e-08,24,2.708,1
35.15323,239.0,8.66716049382717,1.19929300129728e-10,12,2.708,2
96.37,39.7,8.66716049382717,0.01,12,2.708,1
83.146065,239.0,8.66716049382717,5.99646500648642e-10,24,2.708,1
98.789,28.0,8.66716049382717,0.005,24,2.708,1
91.803,39.7,8.66716049382717,0.05,24,2.708,1
95.738,39.7,8.66716049382717,0.01,24,2.708,1
94.426,39.7,8.66716049382717,0.005,24,2.708,1
93.77,39.7,8.66716049382717,0.0001,24,2.708,1
97.69,39.7,8.66716049382717,0.0001,12,2.708,1
92.459,39.7,8.66716049382717,1e-06,24,2.708,1
97.377,39.7,8.66716049382717,0.001,24,2.708,1
91.749,39.7,8.66716049382717,0.1,12,2.708,1
97.03,39.7,8.66716049382717,0.05,12,2.708,1
94.719,39.7,8.66716049382717,0.02,12,2.708,1
95.38,39.7,8.66716049382717,0.005,12,2.708,1
99.67,39.7,8.66716049382717,0.001,12,2.708,1
82.295,39.7,8.66716049382717,0.1,24,2.708,1
96.066,39.7,8.66716049382717,1e-05,24,2.708,1
100.69,28.0,8.66716049382717,0.01,24,2.708,1
95.05,39.7,8.66716049382717,1e-05,12,2.708,1
42.82016,239.0,8.66716049382717,5.99646500648642e-15,12,2.708,2
78.212,13.0,8.66716049382717,1.0,48,2.708,2
99.308,28.0,8.66716049382717,0.025,24,2.708,1
92.134834,239.0,8.66716049382717,1.19929300129728e-10,24,2.708,1
97.75281,239.0,8.66716049382717,5.99646500648642e-12,24,2.708,1
85.475,13.0,8.66716049382717,0.75,48,2.708,2
88.454,13.0,8.66716049382717,0.5,48,2.708,2
90.875,13.0,8.66716049382717,0.25,48,2.708,2
70.95,13.0,8.66716049382717,1.5,48,2.708,2
79.713,28.0,8.66716049382717,0.1,24,2.708,1
67.684,28.0,8.66716049382717,0.05,24,2.708,1
74.506,28.0,8.66716049382717,0.025,24,2.708,1
81.149,28.0,8.66716049382717,0.005,24,2.708,1
75.606,28.0,8.66716049382717,0.1,24,2.708,1
93.08,28.0,8.66716049382717,0.05,24,2.708,1
54.026,13.0,8.66716049382717,0.2,24,2.708,1
54.319,13.0,8.66716049382717,0.4,24,2.708,2
96.98729,21.7,-7.6,3.93933138e-06,24,2.54,2
80.0,25.0,24.4,2.06926545215823e-09,48,2.54,1
94.153275,21.7,-7.6,9.84832845e-06,24,2.54,2
92.24696,21.7,-7.6,1.96966569e-05,24,2.54,2
85.69136,21.7,-7.6,3.93933138e-05,24,2.54,2
72.003944,21.7,-7.6,7.87866276e-05,24,2.54,2
53.664707,21.7,-7.6,0.0001575732552,24,2.54,2
96.3684,21.7,-7.6,3.93933138e-06,24,2.54,2
95.30382,21.7,-7.6,3.93933138e-05,24,2.54,2
84.09704,21.7,-7.6,7.87866276e-05,24,2.54,2
77.5408,21.7,-7.6,0.0001575732552,24,2.54,2
62.41379,25.0,24.4,2.06926545215823e-07,48,2.54,1
96.72178,21.7,-7.6,1.96966569e-06,24,2.54,2
66.206894,25.0,24.4,1.03463272607912e-07,48,2.54,1
77.586205,25.0,24.4,2.06926545215823e-08,48,2.54,1
93.266335,21.7,-7.6,3.93933138e-06,24,2.54,2
95.39359,21.7,-7.6,9.84832845e-06,24,2.54,2
71.33922,21.7,-7.6,0.0001575732552,24,2.54,2
82.23656,21.7,-7.6,7.87866276e-05,24,2.54,2
88.172,21.7,-7.6,3.93933138e-05,24,2.54,2
91.451065,21.7,-7.6,1.96966569e-06,24,2.54,2
91.937515,21.7,-7.6,1.96966569e-05,24,2.54,2
81.459,90.0,24.4,0.01,48,2.54,1
90.355,215.0,24.4,0.0003,24,2.54,1
99.135,90.0,24.4,0.001,48,2.54,1
85.909,90.0,24.4,0.005,48,2.54,1
71.199,90.0,24.4,0.015,48,2.54,1
66.244,18.0,24.4,0.005,24,2.54,1
64.848,18.0,24.4,0.0025,24,2.54,1
88.198,18.0,24.4,0.0012,24,2.54,1
7.1066,50.0,24.4,0.025,48,2.54,1
68.401,50.0,24.4,0.015,48,2.54,1
77.284,50.0,24.4,0.01,48,2.54,1
83.122,50.0,24.4,0.005,48,2.54,1
97.462,50.0,24.4,0.001,48,2.54,1
81.479,6.0,24.4,0.4,24,2.54,2
89.918,6.0,24.4,0.2,24,2.54,1
93.534,6.0,24.4,0.1,24,2.54,1
94.301,6.0,24.4,0.05,24,2.54,1
100.29,6.3,24.4,0.0006,24,2.54,1
99.424,6.3,24.4,0.0012,24,2.54,1
98.705,6.3,24.4,0.005,24,2.54,1
94.416,18.0,24.4,0.0003,24,2.54,1
92.893,18.0,24.4,0.0006,24,2.54,1
80.584,30.0,24.4,0.005,48,2.54,1
67.386,30.0,24.4,0.015,48,2.54,1
88.198,215.0,24.4,0.0006,24,2.54,1
96.193,30.0,24.4,0.001,72,2.54,1
5.7107,30.0,24.4,0.025,48,2.54,1
13.226,90.0,24.4,0.025,72,2.54,1
68.356,90.0,24.4,0.015,72,2.54,1
102.45,6.3,24.4,0.0003,24,2.54,1
84.92,90.0,24.4,0.005,72,2.54,1
97.775,90.0,24.4,0.001,72,2.54,1
7.1066,50.0,24.4,0.025,72,2.54,1
66.117,50.0,24.4,0.015,72,2.54,1
77.03,50.0,24.4,0.01,72,2.54,1
