PC1,PC2
-1.8816981408068405,-1.0585880419591969
-1.1001149054004788,-0.8240143011145119
-0.7952061934544891,-0.7325024905682167
-1.5319900060249119,-0.9536293965160213
-1.5876612349770312,-0.9703378732521696
-1.5638032899539476,-0.9631765552419114
-1.8760189625527126,-1.0568828971133857
-1.6263064812755503,-0.9819386910229889
-1.3860165971493037,-0.9098202907054365
-1.7439198239983809,-1.017233624222872
-1.827351908848044,-1.0422747905516314
-1.8412574567278506,-1.046448230362938
-1.778682485164765,-1.0276677493800919
-1.8690673692421464,-1.054795643204078
-1.889924510432519,-1.0610563369246924
-1.8690673692421464,-1.054795643204078
-1.834302327633228,-1.0443625802965595
-1.846226212901843,-1.0479426896567932
-1.7856317311685543,-1.0297560754840591
-1.7300095518572378,-1.0130623199027642
-1.6326701468757716,-0.9838485143756153
-1.5840007127285691,-0.9692414700635628
-1.6187646042279265,-0.9796750761345651
-1.2711256388892258,-0.8753392224003744
-1.8273530868614003,-1.0422742557628486
-1.1876923655622829,-0.8502985877198846
-1.7856364432219798,-1.0297539363289283
-1.7823781958148457,-1.0287803989784692
-1.7256257783601994,-1.0117466281375471
-1.89588592383281,-1.062846632521471
-1.8746033657838386,-1.056459147769647
-1.718531292608575,-1.0096175986805451
-1.895885629329471,-1.0628467662186667
-1.8675088835201885,-1.0543301193594825
-1.6617775029986965,-0.9925844376125347
-1.8604145831905035,-1.052201012301257
-1.8412539226877813,-1.0464498347292863
-1.325212199108524,-0.891568764900663
-1.7995396385630484,-1.0339284467646381
-1.8533202828608186,-1.0500719052430316
-1.5240357928126993,-0.9512430053090417
-1.341117126372624,-0.8963431621493472
-1.817849234977864,-1.0394261508022034
-1.8036608699211656,-1.035167829727996
-0.874322566310277,-0.7562476815981796
-1.824943308424814,-1.0415553674352795
-0.1790922293731337,-0.547589902991321
-1.8816978463035015,-1.0585881756563926
-0.8956758827581742,-0.7626563584868877
-0.9095813130340944,-0.7668298740449125
-0.7051191814093714,-0.7054650623977693
-1.6115191625602427,-0.9774991860282396
-1.1624826790729026,-0.8427325962753265
-0.44871841006442953,-0.6285121828176142
-1.547898397569592,-0.9584021684616039
-1.539945362370736,-0.9560152424658415
-1.333166447200481,-0.8939551665760194
-1.5558502547550916,-0.960789629246149
-1.4743224855679367,-0.9363235541301761
-1.4327432746048883,-0.9238450150523616
-0.8852931225780162,-0.7595399826859193
-1.8249435440274853,-1.041555260477523
-0.9168878316013255,-0.7690226070444883
-1.4445042453709112,-0.9273742749060121
-1.155553063621605,-0.8406527380387893
-0.9860617801573702,-0.7897837791365004
-1.2456397703045627,-0.8676902522302397
-1.3634456498784955,-0.9030469686127665
-0.7218564000888239,-0.7104884316197924
-1.5990582750965066,-0.9737599950520445
-1.5574797709414723,-0.9612811351009604
-1.1902030365582854,-0.8510512212356158
-1.3490689835581235,-0.8987306229338923
-1.5020414708980871,-0.9446427888633772
-1.0793267135349824,-0.8177743898290654
-1.4951114431421146,-0.9425631178029139
-1.4812519243172309,-0.9384034925850309
-1.0169586453592194,-0.7990562283654465
-1.4604623777363748,-0.9321641963066845
-1.4466028763513632,-0.9280045763229897
-1.460462259935039,-0.9321642497855627
-1.4648772685580436,-0.8740822800560663
-1.094377139711563,-0.7628865410022312
-0.5201041019957616,-0.5905321093976851
-1.7540028029769357,-1.020263136588766
-1.0276867784974344,-0.742871399088113
-0.1718355308155161,-0.4860073923798442
-0.3058414113162412,-0.6227148495737446
-1.8887920340638125,-1.0607173377637527
-1.8746039547905167,-1.0564588803752555
-0.09032543236717655,-0.46154427665420594
-0.10514525472031,-0.4659922118238509
-1.641605373757296,-0.9823667394279932
-1.4287798107074545,-0.9184918971439419
-1.1627477927329966,-0.8386483668411734
-0.4178584092579138,-0.6150864450179357
-0.3764755620348701,-0.602666321029668
-1.6694131496330384,-0.9948764618523462
-1.8639144276178292,-1.0532491027940092
-1.8074789201210713,-1.0363137322730511
-0.935485279687519,-0.7746043048094667
-1.7566126288617485,-1.0210473503346982
-0.774416806135764,-0.7262631088373646
-0.18671470380328,-0.5498775963422005
-0.05723721746010833,-0.5068540576035911
0.06099910913126495,-0.4713680702992419
-1.639927318540386,-1.0231109309424873
-1.5876588789503183,-0.9703389428297351
-1.2218186533563935,-0.8605406091848682
-1.3221619427435238,-0.8906566298242692
-1.2702134114895896,-0.8750654377081413
-0.8100976097793514,-0.736971950039282
-0.9807855735157395,-0.7882002434828755
-0.8620460286613609,-0.7525632194723845
-1.344425908447011,-0.8973384400918611
-1.508127955394953,-0.946469955500691
-1.3103755950598817,-0.9242033370421021
-0.30937160158893134,-0.6237743488469869
-0.4275844623002884,-0.6592533003680321
-0.2867716123511978,-0.616991472216412
-0.346091593943012,-0.6347950406137977
-0.28187222524580724,-0.6155210333893255
-0.03475094590546336,-0.44486467454612105
0.06691105143731797,-0.4695937327761544
-1.693223960603059,-1.0020219457765789
-1.7822786279637792,-1.0287497164015416
-1.7748585822437528,-1.0265218669578295
-1.789701012270646,-1.0309764910334995
-1.552220138101982,-0.9597032399615031
-1.648696046635957,-0.9886583304755832
-1.5299570907882567,-0.9530210390707008
-0.3323562686000069,-0.5935886833687541
-1.8713380073779247,-1.055475347871373
-1.4188836554185413,-0.9196854485475453
-1.2695374361163354,-0.8748618925308628
-1.3860152424339438,-0.9098209057125366
-1.8713380073779247,-1.055475347871373
-1.8787580478659893,-1.0577031957448284
-1.8268094869642724,-1.0421119947305804
-1.945545809721793,-1.0777504946444123
-1.9310122888952206,-1.073388804855876
-1.9310122888952206,-1.073388804855876
0.01885543637899643,-0.4881803072840333
-0.7525891774813187,-0.7197120777269526
-1.9092116239290273,-1.0668464437177163
-1.0590178726839612,-0.8116797664001669
-0.05461501261768188,-0.8317776946382109
-1.849073163396382,-1.0487939402656246
-1.9092116239290273,-1.0668464437177163
-1.945545809721793,-1.0777504946444123
-0.8003073712345822,-0.7340336284673384
-0.3310781298105384,-0.5932050563317669
-0.12429914488079419,-0.5311449595051911
-1.2615837770310565,-0.872475223461115
-1.8639144276178292,-1.0532491027940092
-1.8639132496044728,-1.053249637582792
-1.8861804478687414,-1.0599299750875562
-1.9237449680535965,-1.07120821372457
-1.2479500347927805,-0.8683833600461579
-1.871335651351212,-1.0554764174489386
-1.923745085854932,-1.0712081602456918
-1.262483532947519,-0.8727450430302494
-1.9382786073790992,-1.0755698502435957
-1.9237449680535965,-1.07120821372457
-1.3133501448699896,-0.8880112991226891
-1.1263819015870382,-0.8318976204645384
-1.945545220715115,-1.0777507620388036
-1.923745085854932,-1.0712081602456918
-1.102617671198984,-0.8247651839019037
-0.2857048059228881,-1.0544768343529707
-0.28621108665707484,-1.0546287822782787
-0.4869523301191764,-0.24846976279883345
-0.3458532412702816,-0.2061220908877549
0.44104868298186883,0.10597141710285234
-0.15296487917827148,-1.014637909137397
-0.15092818403617655,-0.1476197560117464
-0.18663499443101383,-1.0247432425135334
0.010998120601029246,-0.9654280745778006
-0.12077139823479265,-1.004975754345865
0.5396222966749081,0.13555579582500366
0.011968527417068586,-0.9651368286342071
0.9751098889619039,-0.6760714462449632
0.9163238298051531,-0.6937147703029515
-0.10203759196563003,-0.999353220625142
-0.18709924407960096,-1.0248825764957912
0.9163238301776749,-0.6937147704720672
0.935919183478273,-0.6878336625654815
0.029225542639171605,-0.9599575207061375
0.8771332108999892,-0.7054769601706572
0.9163238303016006,-0.6937147705283263
-0.0357098162282461,-0.9794464192540153
