Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
82,ID_0084,Ag,14.7,-20.0,Caco-2,Yes,2.56904072367955e-07,72.23065,0,human,colon,24,Promegas CTB Assay,1.93,Small
83,ID_0085,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,10.983051,0,human,cervix,24,MTT,1.93,Small
84,ID_0086,Ag,14.7,-20.0,Caco-2,Yes,3.59665701315137e-07,43.12595,0,human,colon,24,Promegas CTB Assay,1.93,Small
85,ID_0087,Ag,14.7,-20.0,Caco-2,Yes,1.54142443420773e-07,92.2003,0,human,colon,24,Promegas CTB Assay,1.93,Small
86,ID_0088,Ag,36.4,-23.1,KEC,No,9.13718886313581e-10,84.47542,0,human,skin,24,MTS,1.93,Small
87,ID_0089,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.2542372,0,human,cervix,72,MTT,1.93,Small
88,ID_0091,Ag,14.7,-20.0,Caco-2,Yes,5.1380814473591e-08,96.874054,0,human,colon,24,Promegas CTB Assay,1.93,Small
89,ID_0092,Ag,14.7,-20.0,Caco-2,Yes,2.05523257894364e-08,96.02428,0,human,colon,24,Promegas CTB Assay,1.93,Small
90,ID_0093,Ag,27.02,-18.4,KEC,No,2.23057506147267e-08,5.084746,PVP,human,skin,48,MTS,1.93,Small
91,ID_0094,Ag,27.02,-18.4,KEC,No,2.23057506147267e-08,17.288136,PVP,human,skin,24,MTS,1.93,Small
92,ID_0095,Ag,27.02,-18.4,KEC,No,8.918990787342491e-09,32.542374,PVP,human,skin,48,MTS,1.93,Small
93,ID_0096,Ag,27.02,-18.4,KEC,No,8.918990787342491e-09,75.254234,PVP,human,skin,24,MTS,1.93,Small
94,ID_0097,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,77.62712,PVP,human,skin,48,MTS,1.93,Small
95,ID_0098,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,15.833333,0,human,cervix,72,AlamarBlue,1.93,Small
96,ID_0099,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,4.680851,0,human,skin,72,AlamarBlue,1.93,Small
97,ID_0100,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,7.9166665,0,human,cervix,72,AlamarBlue,1.93,Small
98,ID_0101,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,57.916668,0,human,cervix,24,AlamarBlue,1.93,Small
99,ID_0102,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,10.833333,0,human,cervix,48,AlamarBlue,1.93,Small
100,ID_0103,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,67.15232,0,human,cervix,24,NR,1.93,Small
101,ID_0104,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,100.85107,0,human,skin,24,AlamarBlue,1.93,Small
102,ID_0105,Ag,27.02,-18.4,KEC,No,4.467769040041691e-09,95.932205,PVP,human,skin,24,MTS,1.93,Small
103,ID_0106,Ag,27.02,-18.4,KEC,No,2.23388452002084e-09,102.71186,PVP,human,skin,24,MTS,1.93,Small
104,ID_0107,Ag,36.4,-23.1,KEC,No,9.123652287042281e-09,7.9791102,0,human,skin,48,MTS,1.93,Small
105,ID_0109,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,41.49837,0,human,skin,24,NR,1.93,Small
106,ID_0110,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,35.744682,0,human,skin,72,AlamarBlue,1.93,Small
107,ID_0111,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,38.723404,0,human,skin,48,AlamarBlue,1.93,Small
108,ID_0112,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,65.106384,0,human,skin,24,AlamarBlue,1.93,Small
109,ID_0113,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,55.31915,0,human,skin,72,AlamarBlue,1.93,Small
110,ID_0114,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,62.12766,0,human,skin,48,AlamarBlue,1.93,Small
111,ID_0115,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,34.468086,0,human,skin,24,AlamarBlue,1.93,Small
112,ID_0116,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,25.081432,0,human,skin,72,NR,1.93,Small
113,ID_0117,Ag,36.4,-23.1,KEC,No,9.123652287042281e-09,26.875563,0,human,skin,24,MTS,1.93,Small
114,ID_0118,Ag,36.4,-23.1,KEC,No,3.64810725720756e-09,84.273,0,human,skin,48,MTS,1.93,Small
115,ID_0119,Ag,36.4,-23.1,KEC,No,3.64810725720756e-09,77.49469,0,human,skin,24,MTS,1.93,Small
116,ID_0120,Ag,36.4,-23.1,KEC,No,1.8274377726271602e-09,85.56888,0,human,skin,48,MTS,1.93,Small
117,ID_0121,Ag,36.4,-23.1,KEC,No,1.8274377726271602e-09,82.16748,0,human,skin,24,MTS,1.93,Small
118,ID_0122,Ag,36.4,-23.1,KEC,No,9.13718886313581e-10,85.84981,0,human,skin,48,MTS,1.93,Small
119,ID_0123,Ag,14.7,-20.0,Caco-2,Yes,1.02761628947182e-07,100.0607,0,human,colon,24,Promegas CTB Assay,1.93,Small
120,ID_0124,Ag,27.02,-18.4,KEC,No,2.23388452002084e-09,103.05085,PVP,human,skin,48,MTS,1.93,Small
121,ID_0125,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,14.468085,0,human,skin,48,AlamarBlue,1.93,Small
122,ID_0126,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,9.361702,0,human,skin,72,AlamarBlue,1.93,Small
123,ID_0127,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,9.787234,0,human,skin,24,AlamarBlue,1.93,Small
124,ID_0128,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,8.936171,0,human,skin,48,AlamarBlue,1.93,Small
125,ID_0129,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,22.553192,0,human,skin,48,AlamarBlue,1.93,Small
126,ID_0130,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,17.021276,0,human,skin,72,AlamarBlue,1.93,Small
127,ID_0131,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,23.829786,0,human,skin,24,AlamarBlue,1.93,Small
128,ID_0132,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,92.5,0,human,cervix,24,AlamarBlue,1.93,Small
129,ID_0133,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,4.255319,0,human,skin,48,AlamarBlue,1.93,Small
130,ID_0134,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,30.198675,0,human,cervix,72,NR,1.93,Small
131,ID_0135,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,38.762215,0,human,skin,24,NR,1.93,Small
132,ID_0136,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,32.083332,0,human,cervix,48,AlamarBlue,1.93,Small
133,ID_0137,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,4.255319,0,human,skin,24,AlamarBlue,1.93,Small
134,ID_0138,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,3.8297873,0,human,skin,72,AlamarBlue,1.93,Small
135,ID_0139,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,6.808511,0,human,skin,24,AlamarBlue,1.93,Small
136,ID_0140,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,0.0,0,human,cervix,48,AlamarBlue,1.93,Small
137,ID_0141,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,0.8333333,0,human,cervix,72,AlamarBlue,1.93,Small
138,ID_0142,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,0.8333333,0,human,cervix,48,AlamarBlue,1.93,Small
139,ID_0143,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,112.638435,0,human,skin,24,NR,1.93,Small
140,ID_0144,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,68.40391,0,human,skin,24,NR,1.93,Small
141,ID_0145,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,2.0833333,0,human,cervix,72,AlamarBlue,1.93,Small
142,ID_0146,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,50.833332,0,human,cervix,24,AlamarBlue,1.93,Small
143,ID_0147,Ag,100.0,-20.0,hMSC,No,6.52227001727097e-10,88.548386,0,human,bone marrow,24,Live/Dead,1.93,Small
144,ID_0148,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,5.5319147,0,human,skin,48,AlamarBlue,1.93,Small
145,ID_0149,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,2.0833333,0,human,cervix,48,AlamarBlue,1.93,Small
146,ID_0150,Ag,28.41,-33.33,HeLa,Yes,3.55545418004399e-07,0.0,0,human,cervix,72,AlamarBlue,1.93,Small
147,ID_0151,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,65.667755,0,human,skin,48,NR,1.93,Small
148,ID_0152,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,92.57329,0,human,skin,72,NR,1.93,Small
149,ID_0153,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,104.42997,0,human,skin,48,NR,1.93,Small
150,ID_0154,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-07,39.218243,0,human,skin,48,NR,1.93,Small
151,ID_0155,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,4.680851,0,human,skin,48,AlamarBlue,1.93,Small
152,ID_0157,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,3.4042554,0,human,skin,72,AlamarBlue,1.93,Small
153,ID_0158,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,1.25,0,human,cervix,48,AlamarBlue,1.93,Small
154,ID_0159,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,40.0,0,human,cervix,24,AlamarBlue,1.93,Small
155,ID_0161,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,1.25,0,human,cervix,72,AlamarBlue,1.93,Small
156,ID_0162,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,39.166668,0,human,cervix,24,AlamarBlue,1.93,Small
157,ID_0163,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,0.41666666,0,human,cervix,48,AlamarBlue,1.93,Small
158,ID_0165,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,36.25,0,human,cervix,24,AlamarBlue,1.93,Small
159,ID_0166,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,46.970684,0,human,skin,72,NR,1.93,Small
160,ID_0169,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,48.333332,0,human,cervix,24,AlamarBlue,1.93,Small
161,ID_0170,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-10,26.58145,0,human,heart,24,LDH,2.708,Small
162,ID_0171,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-10,26.55242,0,human,heart,24,LDH,2.708,Small
163,ID_0172,Al2O3,45.0,8.66716049382717,SH-SY5Y,Yes,1.34754328485411e-07,38.63421,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
164,ID_0173,Al2O3,45.0,8.66716049382717,SH-SY5Y,Yes,1.12295273737842e-07,46.724808,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
165,ID_0174,Al2O3,28.0,8.66716049382717,CHO-K1,No,1.86459672364448e-07,93.91304,0,hamster,ovary,24,NR,2.708,Small
166,ID_0175,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-12,34.19274,0,human,heart,24,LDH,2.708,Small
167,ID_0176,Al2O3,45.0,8.66716049382717,SH-SY5Y,Yes,8.98362189902739e-08,57.90178,0,human,bone marrow,48,ApoTox-Glo™ Triplex,2.708,Small
168,ID_0177,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-11,32.2621,0,human,heart,24,LDH,2.708,Small
169,ID_0178,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-13,43.594357,0,human,heart,24,LDH,2.708,Small
170,ID_0179,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-11,36.03871,0,human,heart,24,LDH,2.708,Small
171,ID_0180,Al2O3,28.0,8.66716049382717,CHO-K1,No,9.32298361822238e-08,99.565216,0,hamster,ovary,24,NR,2.708,Small
172,ID_0181,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-15,43.65,0,human,heart,24,LDH,2.708,Small
173,ID_0182,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-10,98.8764,0,human,heart,12,MTT,2.708,Small
174,ID_0183,Al2O3,239.0,8.66716049382717,HCMEC,No,1.19929300129728e-10,95.505615,0,human,heart,12,MTT,2.708,Small
175,ID_0184,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-12,37.112904,0,human,heart,12,LDH,2.708,Small
176,ID_0185,Al2O3,239.0,8.66716049382717,HCMEC,No,1.19929300129728e-10,32.23548,0,human,heart,24,LDH,2.708,Small
177,ID_0186,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-11,95.505615,0,human,heart,24,MTT,2.708,Small
178,ID_0187,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-11,96.62921,0,human,heart,12,MTT,2.708,Small
179,ID_0188,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-13,44.639515,0,human,heart,12,LDH,2.708,Small
180,ID_0189,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-15,93.25843,0,human,heart,24,MTT,2.708,Small
181,ID_0191,Al2O3,239.0,8.66716049382717,HCMEC,No,5.996465006486421e-14,40.91613,0,human,heart,12,LDH,2.708,Small
182,ID_0192,Al2O3,28.0,8.66716049382717,CHO-K1,No,3.72919344728895e-08,100.86957,0,hamster,ovary,24,NR,2.708,Small
183,ID_0193,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-10,93.25843,0,human,heart,12,MTT,2.708,Small
184,ID_0195,Al2O3,28.0,8.66716049382717,CHO-K1,No,3.72919344728895e-07,79.43144,0,hamster,ovary,24,MTT,2.708,Small
185,ID_0196,Al2O3,239.0,8.66716049382717,HCMEC,No,5.996465006486421e-14,45.495968,0,human,heart,24,LDH,2.708,Small
186,ID_0197,Al2O3,28.0,8.66716049382717,CHO-K1,No,9.32298361822238e-08,73.54821,0,hamster,ovary,24,MTT,2.708,Small
187,ID_0198,Al2O3,28.0,8.66716049382717,CHO-K1,No,1.86459672364448e-08,80.66091,0,hamster,ovary,24,MTT,2.708,Small
188,ID_0199,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-12,101.1236,0,human,heart,12,MTT,2.708,Small
189,ID_0200,Al2O3,28.0,8.66716049382717,CHO-K1,No,3.72919344728895e-07,76.08696,0,hamster,ovary,24,NR,2.708,Small
190,ID_0201,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-13,97.75281,0,human,heart,12,MTT,2.708,Small
191,ID_0202,Al2O3,28.0,8.66716049382717,CHO-K1,No,1.86459672364448e-07,67.09848,0,hamster,ovary,24,MTT,2.708,Small
192,ID_0203,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-13,94.38202,0,human,heart,24,MTT,2.708,Small
193,ID_0204,Al2O3,239.0,8.66716049382717,HCMEC,No,5.996465006486421e-14,96.62921,0,human,heart,24,MTT,2.708,Small
194,ID_0205,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-10,33.22258,0,human,heart,12,LDH,2.708,Small
195,ID_0206,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-10,33.25161,0,human,heart,12,LDH,2.708,Small
196,ID_0207,Al2O3,239.0,8.66716049382717,HCMEC,No,5.99646500648642e-11,35.18226,0,human,heart,12,LDH,2.708,Small
197,ID_0208,Al2O3,239.0,8.66716049382717,HCMEC,No,2.99823250324321e-11,33.33629,0,human,heart,12,LDH,2.708,Small
198,ID_0209,Al2O3,28.0,8.66716049382717,CHO-K1,No,1.86459672364448e-08,99.13043,0,hamster,ovary,24,NR,2.708,Small
199,ID_0210,Al2O3,239.0,8.66716049382717,HCMEC,No,1.19929300129728e-10,35.15323,0,human,heart,12,LDH,2.708,Small
200,ID_0211,Al2O3,39.7,8.66716049382717,HCMEC,No,0.01,96.37,0,human,heart,12,MTT,2.708,Small
